"send","receive"
"0.006525","0.001321"
"0.006636","0.001315"
"0.006496","0.001317"
"0.006527","0.001325"
"0.006540","0.001312"
"0.006568","0.001345"
"0.006545","0.001333"
"0.006552","0.001315"
"0.006503","0.001316"
"0.006604","0.001324"
"0.006515","0.001326"
"0.006571","0.001318"
"0.006547","0.001329"
"0.006532","0.001326"
"0.006544","0.001316"
"0.006534","0.001326"
"0.006583","0.001313"
"0.006591","0.001322"
"0.006500","0.001321"
"0.006649","0.001324"
"0.006516","0.001319"
"0.006521","0.001312"
"0.006610","0.001318"
"0.006585","0.001319"
"0.006526","0.001329"
"0.006563","0.001313"
"0.006574","0.001312"
"0.006614","0.001320"
"0.006554","0.001337"
"0.006563","0.001316"
"0.006515","0.001275"
"0.006530","0.001322"
"0.006519","0.001318"
"0.006547","0.001319"
"0.006511","0.001332"
"0.006657","0.001336"
"0.006614","0.001326"
"0.006631","0.001312"
"0.006596","0.001309"
"0.006651","0.001337"
"0.006524","0.001327"
"0.006641","0.001334"
"0.006504","0.001307"
"0.006655","0.001311"
"0.006541","0.001329"
"0.006652","0.001321"
"0.006535","0.001304"
"0.006534","0.001318"
"0.006527","0.001316"
"0.006618","0.001317"
"0.006622","0.001324"
"0.006568","0.001312"
"0.006506","0.001312"
"0.006544","0.001330"
"0.006546","0.001317"
"0.006485","0.001312"
"0.006565","0.001310"
"0.006551","0.001311"
"0.006553","0.001314"
"0.006546","0.001328"
"0.006551","0.001311"
"0.006660","0.001363"
"0.006598","0.001330"
"0.006603","0.001323"
"0.006483","0.001308"
"0.006586","0.001323"
"0.006553","0.001322"
"0.006517","0.001329"
"0.006498","0 errors"
"0.001305","everythi"
"[node4:1","[node4:1"
"send","receive"
"0.028869","0.029202"
"0.007171","0.001327"
"0.006521","0.001324"
"0.006552","0.001310"
"0.006493","0.001329"
"0.006626","0.001321"
"0.006662","0.001313"
"0.006577","0.001340"
"0.006652","0.001335"
"0.006570","0.001335"
"0.006519","0.001317"
"0.006614","0.001308"
"0.006583","0.001311"
"0.006576","0.001320"
"0.006537","0.001310"
"0.006516","0.001326"
"0.006523","0.001317"
"0.006570","0.001311"
"0.006590","0.001326"
"0.006562","0.001317"
"0.006590","0.001307"
"0.006526","0.001270"
"0.006462","0.001345"
"0.006535","0.001321"
"0.006591","0.001309"
"0.006566","0.001322"
"0.006604","0.001334"
"0.006586","0.001333"
"0.006502","0.001310"
"0.006513","0.001312"
"0.006525","0.001321"
"0.006636","0.001315"
"0.006496","0.001317"
"0.006527","0.001325"
"0.006540","0.001312"
"0.006568","0.001345"
"0.006545","0.001333"
"0.006552","0.001315"
"0.006503","0.001316"
"0.006604","0.001324"
"0.006515","0.001326"
"0.006571","0.001318"
"0.006547","0.001329"
"0.006532","0.001326"
"0.006544","0.001316"
"0.006534","0.001326"
"0.006583","0.001313"
"0.006591","0.001322"
"0.006500","0.001321"
"0.006649","0.001324"
"0.006516","0.001319"
"0.006521","0.001312"
"0.006610","0.001318"
"0.006585","0.001319"
"0.006526","0.001329"
"0.006563","0.001313"
"0.006574","0.001312"
"0.006614","0.001320"
"0.006554","0.001337"
"0.006563","0.001316"
"0.006515","0.001275"
"0.006530","0.001322"
"0.006519","0.001318"
"0.006547","0.001319"
"0.006511","0.001332"
"0.006657","0.001336"
"0.006614","0.001326"
"0.006631","0.001312"
"0.006596","0.001309"
"0.006651","0.001337"
"0.006524","0.001327"
"0.006641","0.001334"
"0.006504","0.001307"
"0.006655","0.001311"
"0.006541","0.001329"
"0.006652","0.001321"
"0.006535","0.001304"
"0.006534","0.001318"
"0.006527","0.001316"
"0.006618","0.001317"
"0.006622","0.001324"
"0.006568","0.001312"
"0.006506","0.001312"
"0.006544","0.001330"
"0.006546","0.001317"
"0.006485","0.001312"
"0.006565","0.001310"
"0.006551","0.001311"
"0.006553","0.001314"
"0.006546","0.001328"
"0.006551","0.001311"
"0.006660","0.001363"
"0.006598","0.001330"
"0.006603","0.001323"
"0.006483","0.001308"
"0.006586","0.001323"
"0.006553","0.001322"
"0.006517","0.001329"
"0.006498","0 errors"
"0.001305","everythi"
"[node4:1","[node4:1"
"send","receive"
"0.028869","0.029202"
"0.007171","0.001327"
"0.006521","0.001324"
"0.006552","0.001310"
"0.006493","0.001329"
"0.006626","0.001321"
"0.006662","0.001313"
"0.006577","0.001340"
"0.006652","0.001335"
"0.006570","0.001335"
"0.006519","0.001317"
"0.006614","0.001308"
"0.006583","0.001311"
"0.006576","0.001320"
"0.006537","0.001310"
"0.006516","0.001326"
"0.006523","0.001317"
"0.006570","0.001311"
"0.006590","0.001326"
"0.006562","0.001317"
"0.006590","0.001307"
"0.006526","0.001270"
"0.006462","0.001345"
"0.006535","0.001321"
"0.006591","0.001309"
"0.006566","0.001322"
"0.006604","0.001334"
"0.006586","0.001333"
"0.006502","0.001310"
"0.006513","0.001312"
"0.006525","0.001321"
"0.006636","0.001315"
"0.006496","0.001317"
"0.006527","0.001325"
"0.006540","0.001312"
"0.006568","0.001345"
"0.006545","0.001333"
"0.006552","0.001315"
"0.006503","0.001316"
"0.006604","0.001324"
"0.006515","0.001326"
"0.006571","0.001318"
"0.006547","0.001329"
"0.006532","0.001326"
"0.006544","0.001316"
"0.006534","0.001326"
"0.006583","0.001313"
"0.006591","0.001322"
"0.006500","0.001321"
"0.006649","0.001324"
"0.006516","0.001319"
"0.006521","0.001312"
"0.006610","0.001318"
"0.006585","0.001319"
"0.006526","0.001329"
"0.006563","0.001313"
"0.006574","0.001312"
"0.006614","0.001320"
"0.006554","0.001337"
"0.006563","0.001316"
"0.006515","0.001275"
"0.006530","0.001322"
"0.006519","0.001318"
"0.006547","0.001319"
"0.006511","0.001332"
"0.006657","0.001336"
"0.006614","0.001326"
"0.006631","0.001312"
"0.006596","0.001309"
"0.006651","0.001337"
"0.006524","0.001327"
"0.006641","0.001334"
"0.006504","0.001307"
"0.006655","0.001311"
"0.006541","0.001329"
"0.006652","0.001321"
"0.006535","0.001304"
"0.006534","0.001318"
"0.006527","0.001316"
"0.006618","0.001317"
"0.006622","0.001324"
"0.006568","0.001312"
"0.006506","0.001312"
"0.006544","0.001330"
"0.006546","0.001317"
"0.006485","0.001312"
"0.006565","0.001310"
"0.006551","0.001311"
"0.006553","0.001314"
"0.006546","0.001328"
"0.006551","0.001311"
"0.006660","0.001363"
"0.006598","0.001330"
"0.006603","0.001323"
"0.006483","0.001308"
"0.006586","0.001323"
"0.006553","0.001322"
"0.006517","0.001329"
"0.006498","0 errors"
"0.001305","everythi"
"[node4:1","[node4:1"
"send","receive"
"0.028869","0.029202"
"0.007171","0.001327"
"0.006521","0.001324"
"0.006552","0.001310"
"0.006493","0.001329"
"0.006626","0.001321"
"0.006662","0.001313"
"0.006577","0.001340"
"0.006652","0.001335"
"0.006570","0.001335"
"0.006519","0.001317"
"0.006614","0.001308"
"0.006583","0.001311"
"0.006576","0.001320"
"0.006537","0.001310"
"0.006516","0.001326"
"0.006523","0.001317"
"0.006570","0.001311"
"0.006590","0.001326"
"0.006562","0.001317"
"0.006590","0.001307"
"0.006526","0.001270"
"0.006462","0.001345"
"0.006535","0.001321"
"0.006591","0.001309"
"0.006566","0.001322"
"0.006604","0.001334"
"0.006586","0.001333"
"0.006502","0.001310"
"0.006513","0.001312"
"0.006525","0.001321"
"0.006636","0.001315"
"0.006496","0.001317"
"0.006527","0.001325"
"0.006540","0.001312"
"0.006568","0.001345"
"0.006545","0.001333"
"0.006552","0.001315"
"0.006503","0.001316"
"0.006604","0.001324"
"0.006515","0.001326"
"0.006571","0.001318"
"0.006547","0.001329"
"0.006532","0.001326"
"0.006544","0.001316"
"0.006534","0.001326"
"0.006583","0.001313"
"0.006591","0.001322"
"0.006500","0.001321"
"0.006649","0.001324"
"0.006516","0.001319"
"0.006521","0.001312"
"0.006610","0.001318"
"0.006585","0.001319"
"0.006526","0.001329"
"0.006563","0.001313"
"0.006574","0.001312"
"0.006614","0.001320"
"0.006554","0.001337"
"0.006563","0.001316"
"0.006515","0.001275"
"0.006530","0.001322"
"0.006519","0.001318"
"0.006547","0.001319"
"0.006511","0.001332"
"0.006657","0.001336"
"0.006614","0.001326"
"0.006631","0.001312"
"0.006596","0.001309"
"0.006651","0.001337"
"0.006524","0.001327"
"0.006641","0.001334"
"0.006504","0.001307"
"0.006655","0.001311"
"0.006541","0.001329"
"0.006652","0.001321"
"0.006535","0.001304"
"0.006534","0.001318"
"0.006527","0.001316"
"0.006618","0.001317"
"0.006622","0.001324"
"0.006568","0.001312"
"0.006506","0.001312"
"0.006544","0.001330"
"0.006546","0.001317"
"0.006485","0.001312"
"0.006565","0.001310"
"0.006551","0.001311"
"0.006553","0.001314"
"0.006546","0.001328"
"0.006551","0.001311"
"0.006660","0.001363"
"0.006598","0.001330"
"0.006603","0.001323"
"0.006483","0.001308"
"0.006586","0.001323"
"0.006553","0.001322"
"0.006517","0.001329"
"0.006498","0 errors"
"0.001305","everythi"
"[node4:1","[node4:1"
"send","receive"
"0.028869","0.029202"
"0.007171","0.001327"
"0.006521","0.001324"
"0.006552","0.001310"
"0.006493","0.001329"
"0.006626","0.001321"
"0.006662","0.001313"
"0.006577","0.001340"
"0.006652","0.001335"
"0.006570","0.001335"
"0.006519","0.001317"
"0.006614","0.001308"
"0.006583","0.001311"
"0.006576","0.001320"
"0.006537","0.001310"
"0.006516","0.001326"
"0.006523","0.001317"
"0.006570","0.001311"
"0.006590","0.001326"
"0.006562","0.001317"
"0.006590","0.001307"
"0.006526","0.001270"
"0.006462","0.001345"
"0.006535","0.001321"
"0.006591","0.001309"
"0.006566","0.001322"
"0.006604","0.001334"
"0.006586","0.001333"
"0.006502","0.001310"
"0.006513","0.001312"
"0.006525","0.001321"
"0.006636","0.001315"
"0.006496","0.001317"
"0.006527","0.001325"
"0.006540","0.001312"
"0.006568","0.001345"
"0.006545","0.001333"
"0.006552","0.001315"
"0.006503","0.001316"
"0.006604","0.001324"
"0.006515","0.001326"
"0.006571","0.001318"
"0.006547","0.001329"
"0.006532","0.001326"
"0.006544","0.001316"
"0.006534","0.001326"
"0.006583","0.001313"
"0.006591","0.001322"
"0.006500","0.001321"
"0.006649","0.001324"
"0.006516","0.001319"
"0.006521","0.001312"
"0.006610","0.001318"
"0.006585","0.001319"
"0.006526","0.001329"
"0.006563","0.001313"
"0.006574","0.001312"
"0.006614","0.001320"
"0.006554","0.001337"
"0.006563","0.001316"
"0.006515","0.001275"
"0.006530","0.001322"
"0.006519","0.001318"
"0.006547","0.001319"
"0.006511","0.001332"
"0.006657","0.001336"
"0.006614","0.001326"
"0.006631","0.001312"
"0.006596","0.001309"
"0.006651","0.001337"
"0.006524","0.001327"
"0.006641","0.001334"
"0.006504","0.001307"
"0.006655","0.001311"
"0.006541","0.001329"
"0.006652","0.001321"
"0.006535","0.001304"
"0.006534","0.001318"
"0.006527","0.001316"
"0.006618","0.001317"
"0.006622","0.001324"
"0.006568","0.001312"
"0.006506","0.001312"
"0.006544","0.001330"
"0.006546","0.001317"
"0.006485","0.001312"
"0.006565","0.001310"
"0.006551","0.001311"
"0.006553","0.001314"
"0.006546","0.001328"
"0.006551","0.001311"
"0.006660","0.001363"
"0.006598","0.001330"
"0.006603","0.001323"
"0.006483","0.001308"
"0.006586","0.001323"
"0.006553","0.001322"
"0.006517","0.001329"
"0.006498","0 errors"
"0.001305","everythi"
"[node4:1","[node4:1"
