"send","receive"
"0.400364","0.061417"
"0.401077","0.061702"
"0.403041","0.061554"
"0.401401","0.061557"
"0.400358","0.061640"
"0.400916","0.061855"
"0.400607","0.061582"
"0.401542","0.061857"
"0.400505","0.061520"
"0.401214","0.061819"
"0.401058","0.061488"
"0.400657","0.061765"
"0.401089","0.061447"
"0.400866","0.061572"
"0.400509","0.061530"
"0.400547","0.061548"
"0.400917","0.061965"
"0.401156","0.061859"
"0.400905","0.061408"
"0.400132","0.061612"
"0.400756","0.061423"
"0.400382","0.061335"
"0.400761","0.061466"
"0.400895","0.061613"
"0.401534","0.061434"
"0.400918","0.061562"
"0.400811","0.061476"
"0.402351","0.061919"
"0.401031","0.061515"
"0.401691","0.062154"
"0.401406","0.061563"
"0.400780","0 errors"
"0.061916","everythi"
"send","receive"
"0.180550","0.185991"
"0.428645","0.061192"
"0.401351","0.061418"
"0.401151","0.061949"
"0.400327","0.061384"
"0.401173","0.061441"
"0.400972","0.061813"
"0.400983","0.061958"
"0.400997","0.061566"
"0.400403","0.061355"
"0.400748","0.061527"
"[node6:3","[node6:3"
"0.400436","0.061487"
"0.400573","0.061390"
"0.400942","0.061488"
"0.401472","0.061581"
"0.401793","0.061894"
"0.400706","0.061571"
"0.401682","0.062031"
"0.400940","0.061443"
"0.401590","0.061529"
"0.400538","0.061755"
"0.401034","0.061673"
"0.400855","0.061630"
"0.401318","0.062049"
"0.401255","0.061637"
"0.401413","0.061914"
"0.400255","0.061643"
"0.400462","0.061366"
"0.401230","0.061848"
"0.400772","0.061745"
"0.400237","0.061615"
"0.400907","0.061692"
"0.400986","0.061653"
"0.401632","0.062093"
"0.401550","0.061674"
"0.401320","0.061534"
"0.402284","0.061469"
"0.401082","0.061613"
"0.401113","0.062014"
"0.400928","0.061870"
"0.400982","0.062026"
"0.401159","0.061385"
"0.400622","0.061505"
"0.401012","0.061882"
"0.402369","0.061313"
"0.400657","0.061786"
"0.401136","0.061476"
"0.400958","0.061484"
"0.400950","0.061859"
"0.400355","0.061462"
"0.400581","0.061515"
"0.400700","0.061628"
"0.401060","0.061739"
"0.401519","0.062229"
"0.400318","0.061612"
"0.400768","0.061485"
"0.401015","0.061832"
"0.401051","0.061408"
"0.401148","0.061842"
"0.400739","0.061663"
"0.400694","0.061437"
"0.399962","0.061496"
"0.401633","0.062211"
"0.401229","0.061819"
"0.400832","0.061588"
"0.400458","0.061772"
"0.401036","0.061544"
"0.400364","0.061417"
"0.401077","0.061702"
"0.403041","0.061554"
"0.401401","0.061557"
"0.400358","0.061640"
"0.400916","0.061855"
"0.400607","0.061582"
"0.401542","0.061857"
"0.400505","0.061520"
"0.401214","0.061819"
"0.401058","0.061488"
"0.400657","0.061765"
"0.401089","0.061447"
"0.400866","0.061572"
"0.400509","0.061530"
"0.400547","0.061548"
"0.400917","0.061965"
"0.401156","0.061859"
"0.400905","0.061408"
"0.400132","0.061612"
"0.400756","0.061423"
"0.400382","0.061335"
"0.400761","0.061466"
"0.400895","0.061613"
"0.401534","0.061434"
"0.400918","0.061562"
"0.400811","0.061476"
"0.402351","0.061919"
"0.401031","0.061515"
"0.401691","0.062154"
"0.401406","0.061563"
"0.400780","0 errors"
"0.061916","everythi"
"send","receive"
"0.180550","0.185991"
"0.428645","0.061192"
"0.401351","0.061418"
"0.401151","0.061949"
"0.400327","0.061384"
"0.401173","0.061441"
"0.400972","0.061813"
"0.400983","0.061958"
"0.400997","0.061566"
"0.400403","0.061355"
"0.400748","0.061527"
"[node6:3","[node6:3"
"0.400436","0.061487"
"0.400573","0.061390"
"0.400942","0.061488"
"0.401472","0.061581"
"0.401793","0.061894"
"0.400706","0.061571"
"0.401682","0.062031"
"0.400940","0.061443"
"0.401590","0.061529"
"0.400538","0.061755"
"0.401034","0.061673"
"0.400855","0.061630"
"0.401318","0.062049"
"0.401255","0.061637"
"0.401413","0.061914"
"0.400255","0.061643"
"0.400462","0.061366"
"0.401230","0.061848"
"0.400772","0.061745"
"0.400237","0.061615"
"0.400907","0.061692"
"0.400986","0.061653"
"0.401632","0.062093"
"0.401550","0.061674"
"0.401320","0.061534"
"0.402284","0.061469"
"0.401082","0.061613"
"0.401113","0.062014"
"0.400928","0.061870"
"0.400982","0.062026"
"0.401159","0.061385"
"0.400622","0.061505"
"0.401012","0.061882"
"0.402369","0.061313"
"0.400657","0.061786"
"0.401136","0.061476"
"0.400958","0.061484"
"0.400950","0.061859"
"0.400355","0.061462"
"0.400581","0.061515"
"0.400700","0.061628"
"0.401060","0.061739"
"0.401519","0.062229"
"0.400318","0.061612"
"0.400768","0.061485"
"0.401015","0.061832"
"0.401051","0.061408"
"0.401148","0.061842"
"0.400739","0.061663"
"0.400694","0.061437"
"0.399962","0.061496"
"0.401633","0.062211"
"0.401229","0.061819"
"0.400832","0.061588"
"0.400458","0.061772"
"0.401036","0.061544"
"0.400364","0.061417"
"0.401077","0.061702"
"0.403041","0.061554"
"0.401401","0.061557"
"0.400358","0.061640"
"0.400916","0.061855"
"0.400607","0.061582"
"0.401542","0.061857"
"0.400505","0.061520"
"0.401214","0.061819"
"0.401058","0.061488"
"0.400657","0.061765"
"0.401089","0.061447"
"0.400866","0.061572"
"0.400509","0.061530"
"0.400547","0.061548"
"0.400917","0.061965"
"0.401156","0.061859"
"0.400905","0.061408"
"0.400132","0.061612"
"0.400756","0.061423"
"0.400382","0.061335"
"0.400761","0.061466"
"0.400895","0.061613"
"0.401534","0.061434"
"0.400918","0.061562"
"0.400811","0.061476"
"0.402351","0.061919"
"0.401031","0.061515"
"0.401691","0.062154"
"0.401406","0.061563"
"0.400780","0 errors"
"0.061916","everythi"
"send","receive"
"0.180550","0.185991"
"0.428645","0.061192"
"0.401351","0.061418"
"0.401151","0.061949"
"0.400327","0.061384"
"0.401173","0.061441"
"0.400972","0.061813"
"0.400983","0.061958"
"0.400997","0.061566"
"0.400403","0.061355"
"0.400748","0.061527"
"[node6:3","[node6:3"
"0.400436","0.061487"
"0.400573","0.061390"
"0.400942","0.061488"
"0.401472","0.061581"
"0.401793","0.061894"
"0.400706","0.061571"
"0.401682","0.062031"
"0.400940","0.061443"
"0.401590","0.061529"
"0.400538","0.061755"
"0.401034","0.061673"
"0.400855","0.061630"
"0.401318","0.062049"
"0.401255","0.061637"
"0.401413","0.061914"
"0.400255","0.061643"
"0.400462","0.061366"
"0.401230","0.061848"
"0.400772","0.061745"
"0.400237","0.061615"
"0.400907","0.061692"
"0.400986","0.061653"
"0.401632","0.062093"
"0.401550","0.061674"
"0.401320","0.061534"
"0.402284","0.061469"
"0.401082","0.061613"
"0.401113","0.062014"
"0.400928","0.061870"
"0.400982","0.062026"
"0.401159","0.061385"
"0.400622","0.061505"
"0.401012","0.061882"
"0.402369","0.061313"
"0.400657","0.061786"
"0.401136","0.061476"
"0.400958","0.061484"
"0.400950","0.061859"
"0.400355","0.061462"
"0.400581","0.061515"
"0.400700","0.061628"
"0.401060","0.061739"
"0.401519","0.062229"
"0.400318","0.061612"
"0.400768","0.061485"
"0.401015","0.061832"
"0.401051","0.061408"
"0.401148","0.061842"
"0.400739","0.061663"
"0.400694","0.061437"
"0.399962","0.061496"
"0.401633","0.062211"
"0.401229","0.061819"
"0.400832","0.061588"
"0.400458","0.061772"
"0.401036","0.061544"
"0.400364","0.061417"
"0.401077","0.061702"
"0.403041","0.061554"
"0.401401","0.061557"
"0.400358","0.061640"
"0.400916","0.061855"
"0.400607","0.061582"
"0.401542","0.061857"
"0.400505","0.061520"
"0.401214","0.061819"
"0.401058","0.061488"
"0.400657","0.061765"
"0.401089","0.061447"
"0.400866","0.061572"
"0.400509","0.061530"
"0.400547","0.061548"
"0.400917","0.061965"
"0.401156","0.061859"
"0.400905","0.061408"
"0.400132","0.061612"
"0.400756","0.061423"
"0.400382","0.061335"
"0.400761","0.061466"
"0.400895","0.061613"
"0.401534","0.061434"
"0.400918","0.061562"
"0.400811","0.061476"
"0.402351","0.061919"
"0.401031","0.061515"
"0.401691","0.062154"
"0.401406","0.061563"
"0.400780","0 errors"
"0.061916","everythi"
"send","receive"
"0.180550","0.185991"
"0.428645","0.061192"
"0.401351","0.061418"
"0.401151","0.061949"
"0.400327","0.061384"
"0.401173","0.061441"
"0.400972","0.061813"
"0.400983","0.061958"
"0.400997","0.061566"
"0.400403","0.061355"
"0.400748","0.061527"
"[node6:3","[node6:3"
"0.400436","0.061487"
"0.400573","0.061390"
"0.400942","0.061488"
"0.401472","0.061581"
"0.401793","0.061894"
"0.400706","0.061571"
"0.401682","0.062031"
"0.400940","0.061443"
"0.401590","0.061529"
"0.400538","0.061755"
"0.401034","0.061673"
"0.400855","0.061630"
"0.401318","0.062049"
"0.401255","0.061637"
"0.401413","0.061914"
"0.400255","0.061643"
"0.400462","0.061366"
"0.401230","0.061848"
"0.400772","0.061745"
"0.400237","0.061615"
"0.400907","0.061692"
"0.400986","0.061653"
"0.401632","0.062093"
"0.401550","0.061674"
"0.401320","0.061534"
"0.402284","0.061469"
"0.401082","0.061613"
"0.401113","0.062014"
"0.400928","0.061870"
"0.400982","0.062026"
"0.401159","0.061385"
"0.400622","0.061505"
"0.401012","0.061882"
"0.402369","0.061313"
"0.400657","0.061786"
"0.401136","0.061476"
"0.400958","0.061484"
"0.400950","0.061859"
"0.400355","0.061462"
"0.400581","0.061515"
"0.400700","0.061628"
"0.401060","0.061739"
"0.401519","0.062229"
"0.400318","0.061612"
"0.400768","0.061485"
"0.401015","0.061832"
"0.401051","0.061408"
"0.401148","0.061842"
"0.400739","0.061663"
"0.400694","0.061437"
"0.399962","0.061496"
"0.401633","0.062211"
"0.401229","0.061819"
"0.400832","0.061588"
"0.400458","0.061772"
"0.401036","0.061544"
"0.400364","0.061417"
"0.401077","0.061702"
"0.403041","0.061554"
"0.401401","0.061557"
"0.400358","0.061640"
"0.400916","0.061855"
"0.400607","0.061582"
"0.401542","0.061857"
"0.400505","0.061520"
"0.401214","0.061819"
"0.401058","0.061488"
"0.400657","0.061765"
"0.401089","0.061447"
"0.400866","0.061572"
"0.400509","0.061530"
"0.400547","0.061548"
"0.400917","0.061965"
"0.401156","0.061859"
"0.400905","0.061408"
"0.400132","0.061612"
"0.400756","0.061423"
"0.400382","0.061335"
"0.400761","0.061466"
"0.400895","0.061613"
"0.401534","0.061434"
"0.400918","0.061562"
"0.400811","0.061476"
"0.402351","0.061919"
"0.401031","0.061515"
"0.401691","0.062154"
"0.401406","0.061563"
"0.400780","0 errors"
"0.061916","everythi"
"send","receive"
"0.180550","0.185991"
"0.428645","0.061192"
"0.401351","0.061418"
"0.401151","0.061949"
"0.400327","0.061384"
"0.401173","0.061441"
"0.400972","0.061813"
"0.400983","0.061958"
"0.400997","0.061566"
"0.400403","0.061355"
"0.400748","0.061527"
"[node6:3","[node6:3"
"0.400436","0.061487"
"0.400573","0.061390"
"0.400942","0.061488"
"0.401472","0.061581"
"0.401793","0.061894"
"0.400706","0.061571"
"0.401682","0.062031"
"0.400940","0.061443"
"0.401590","0.061529"
"0.400538","0.061755"
"0.401034","0.061673"
"0.400855","0.061630"
"0.401318","0.062049"
"0.401255","0.061637"
"0.401413","0.061914"
"0.400255","0.061643"
"0.400462","0.061366"
"0.401230","0.061848"
"0.400772","0.061745"
"0.400237","0.061615"
"0.400907","0.061692"
"0.400986","0.061653"
"0.401632","0.062093"
"0.401550","0.061674"
"0.401320","0.061534"
"0.402284","0.061469"
"0.401082","0.061613"
"0.401113","0.062014"
"0.400928","0.061870"
"0.400982","0.062026"
"0.401159","0.061385"
"0.400622","0.061505"
"0.401012","0.061882"
"0.402369","0.061313"
"0.400657","0.061786"
"0.401136","0.061476"
"0.400958","0.061484"
"0.400950","0.061859"
"0.400355","0.061462"
"0.400581","0.061515"
"0.400700","0.061628"
"0.401060","0.061739"
"0.401519","0.062229"
"0.400318","0.061612"
"0.400768","0.061485"
"0.401015","0.061832"
"0.401051","0.061408"
"0.401148","0.061842"
"0.400739","0.061663"
"0.400694","0.061437"
"0.399962","0.061496"
"0.401633","0.062211"
"0.401229","0.061819"
"0.400832","0.061588"
"0.400458","0.061772"
"0.401036","0.061544"
"0.400364","0.061417"
"0.401077","0.061702"
"0.403041","0.061554"
"0.401401","0.061557"
"0.400358","0.061640"
"0.400916","0.061855"
"0.400607","0.061582"
"0.401542","0.061857"
"0.400505","0.061520"
"0.401214","0.061819"
"0.401058","0.061488"
"0.400657","0.061765"
"0.401089","0.061447"
"0.400866","0.061572"
"0.400509","0.061530"
"0.400547","0.061548"
"0.400917","0.061965"
"0.401156","0.061859"
"0.400905","0.061408"
"0.400132","0.061612"
"0.400756","0.061423"
"0.400382","0.061335"
"0.400761","0.061466"
"0.400895","0.061613"
"0.401534","0.061434"
"0.400918","0.061562"
"0.400811","0.061476"
"0.402351","0.061919"
"0.401031","0.061515"
"0.401691","0.062154"
"0.401406","0.061563"
"0.400780","0 errors"
"0.061916","everythi"
