"send","receive"
"0.012888","0.002229"
"0.012870","0.002263"
"0.012820","0.002206"
"0.012829","0.002214"
"0.012904","0.002215"
"0.012822","0.002218"
"0.012914","0.002255"
"0.012726","0.002197"
"0.012826","0.002209"
"0.012750","0.002217"
"0.012803","0.002227"
"0.012761","0.002185"
"0.012892","0.002229"
"0.012797","0.002209"
"0.012783","0.002154"
"0.012980","0.002251"
"0.012780","0.002170"
"0.012843","0.002214"
"0.012937","0.002194"
"0.012859","0.002194"
"0.012705","0.002039"
"0.012715","0.002199"
"0.012895","0.002232"
"0.012769","0.002201"
"0.012842","0.002219"
"0.012861","0.002231"
"0.012933","0.002223"
"0.012846","0.002211"
"0.012833","0.002264"
"0.012826","0.002180"
"0.012754","0.002179"
"0.012858","0.002183"
"0.012618","0.002071"
"0.012706","0.002217"
"0.012812","0.002204"
"0.012883","0.002254"
"0.012980","0 errors"
"0.002232","everythi"
"[node2:0","[node2:0"
"send","receive"
"0.056397","0.056032"
"0.013651","0.002199"
"0.012802","0.002209"
"0.012688","0.002191"
"0.012772","0.002167"
"0.012737","0.002193"
"0.012619","0.002063"
"0.012622","0.002171"
"0.012842","0.002157"
"0.012771","0.002216"
"0.012773","0.002225"
"0.012828","0.002187"
"0.012717","0.002218"
"0.012721","0.002211"
"0.012724","0.002178"
"0.012770","0.002221"
"0.012807","0.002195"
"0.012715","0.002207"
"0.012836","0.002180"
"0.012813","0.002210"
"0.012798","0.002145"
"0.012723","0.002198"
"0.012762","0.002205"
"0.012802","0.002181"
"0.012769","0.002213"
"0.012690","0.002187"
"0.012875","0.002197"
"0.012625","0.002050"
"0.012771","0.002154"
"0.012861","0.002203"
"0.012808","0.002219"
"0.012801","0.002228"
"0.012751","0.002207"
"0.012756","0.002191"
"0.012829","0.002192"
"0.012739","0.002196"
"0.012791","0.002202"
"0.012744","0.002219"
"0.012780","0.002188"
"0.012734","0.002192"
"0.012893","0.002177"
"0.012755","0.002171"
"0.012789","0.002227"
"0.012852","0.002202"
"0.012866","0.002203"
"0.012800","0.002199"
"0.012849","0.002242"
"0.012879","0.002200"
"0.012753","0.002192"
"0.012698","0.002096"
"0.012838","0.002216"
"0.012788","0.002210"
"0.012949","0.002218"
"0.012815","0.002260"
"0.012951","0.002234"
"0.012720","0.002225"
"0.012791","0.002227"
"0.012809","0.002237"
"0.012694","0.002201"
"0.012774","0.002213"
"0.012821","0.002218"
"0.012910","0.002246"
"0.012888","0.002229"
"0.012870","0.002263"
"0.012820","0.002206"
"0.012829","0.002214"
"0.012904","0.002215"
"0.012822","0.002218"
"0.012914","0.002255"
"0.012726","0.002197"
"0.012826","0.002209"
"0.012750","0.002217"
"0.012803","0.002227"
"0.012761","0.002185"
"0.012892","0.002229"
"0.012797","0.002209"
"0.012783","0.002154"
"0.012980","0.002251"
"0.012780","0.002170"
"0.012843","0.002214"
"0.012937","0.002194"
"0.012859","0.002194"
"0.012705","0.002039"
"0.012715","0.002199"
"0.012895","0.002232"
"0.012769","0.002201"
"0.012842","0.002219"
"0.012861","0.002231"
"0.012933","0.002223"
"0.012846","0.002211"
"0.012833","0.002264"
"0.012826","0.002180"
"0.012754","0.002179"
"0.012858","0.002183"
"0.012618","0.002071"
"0.012706","0.002217"
"0.012812","0.002204"
"0.012883","0.002254"
"0.012980","0 errors"
"0.002232","everythi"
"[node2:0","[node2:0"
"send","receive"
"0.056397","0.056032"
"0.013651","0.002199"
"0.012802","0.002209"
"0.012688","0.002191"
"0.012772","0.002167"
"0.012737","0.002193"
"0.012619","0.002063"
"0.012622","0.002171"
"0.012842","0.002157"
"0.012771","0.002216"
"0.012773","0.002225"
"0.012828","0.002187"
"0.012717","0.002218"
"0.012721","0.002211"
"0.012724","0.002178"
"0.012770","0.002221"
"0.012807","0.002195"
"0.012715","0.002207"
"0.012836","0.002180"
"0.012813","0.002210"
"0.012798","0.002145"
"0.012723","0.002198"
"0.012762","0.002205"
"0.012802","0.002181"
"0.012769","0.002213"
"0.012690","0.002187"
"0.012875","0.002197"
"0.012625","0.002050"
"0.012771","0.002154"
"0.012861","0.002203"
"0.012808","0.002219"
"0.012801","0.002228"
"0.012751","0.002207"
"0.012756","0.002191"
"0.012829","0.002192"
"0.012739","0.002196"
"0.012791","0.002202"
"0.012744","0.002219"
"0.012780","0.002188"
"0.012734","0.002192"
"0.012893","0.002177"
"0.012755","0.002171"
"0.012789","0.002227"
"0.012852","0.002202"
"0.012866","0.002203"
"0.012800","0.002199"
"0.012849","0.002242"
"0.012879","0.002200"
"0.012753","0.002192"
"0.012698","0.002096"
"0.012838","0.002216"
"0.012788","0.002210"
"0.012949","0.002218"
"0.012815","0.002260"
"0.012951","0.002234"
"0.012720","0.002225"
"0.012791","0.002227"
"0.012809","0.002237"
"0.012694","0.002201"
"0.012774","0.002213"
"0.012821","0.002218"
"0.012910","0.002246"
"0.012888","0.002229"
"0.012870","0.002263"
"0.012820","0.002206"
"0.012829","0.002214"
"0.012904","0.002215"
"0.012822","0.002218"
"0.012914","0.002255"
"0.012726","0.002197"
"0.012826","0.002209"
"0.012750","0.002217"
"0.012803","0.002227"
"0.012761","0.002185"
"0.012892","0.002229"
"0.012797","0.002209"
"0.012783","0.002154"
"0.012980","0.002251"
"0.012780","0.002170"
"0.012843","0.002214"
"0.012937","0.002194"
"0.012859","0.002194"
"0.012705","0.002039"
"0.012715","0.002199"
"0.012895","0.002232"
"0.012769","0.002201"
"0.012842","0.002219"
"0.012861","0.002231"
"0.012933","0.002223"
"0.012846","0.002211"
"0.012833","0.002264"
"0.012826","0.002180"
"0.012754","0.002179"
"0.012858","0.002183"
"0.012618","0.002071"
"0.012706","0.002217"
"0.012812","0.002204"
"0.012883","0.002254"
"0.012980","0 errors"
"0.002232","everythi"
"[node2:0","[node2:0"
"send","receive"
"0.056397","0.056032"
"0.013651","0.002199"
"0.012802","0.002209"
"0.012688","0.002191"
"0.012772","0.002167"
"0.012737","0.002193"
"0.012619","0.002063"
"0.012622","0.002171"
"0.012842","0.002157"
"0.012771","0.002216"
"0.012773","0.002225"
"0.012828","0.002187"
"0.012717","0.002218"
"0.012721","0.002211"
"0.012724","0.002178"
"0.012770","0.002221"
"0.012807","0.002195"
"0.012715","0.002207"
"0.012836","0.002180"
"0.012813","0.002210"
"0.012798","0.002145"
"0.012723","0.002198"
"0.012762","0.002205"
"0.012802","0.002181"
"0.012769","0.002213"
"0.012690","0.002187"
"0.012875","0.002197"
"0.012625","0.002050"
"0.012771","0.002154"
"0.012861","0.002203"
"0.012808","0.002219"
"0.012801","0.002228"
"0.012751","0.002207"
"0.012756","0.002191"
"0.012829","0.002192"
"0.012739","0.002196"
"0.012791","0.002202"
"0.012744","0.002219"
"0.012780","0.002188"
"0.012734","0.002192"
"0.012893","0.002177"
"0.012755","0.002171"
"0.012789","0.002227"
"0.012852","0.002202"
"0.012866","0.002203"
"0.012800","0.002199"
"0.012849","0.002242"
"0.012879","0.002200"
"0.012753","0.002192"
"0.012698","0.002096"
"0.012838","0.002216"
"0.012788","0.002210"
"0.012949","0.002218"
"0.012815","0.002260"
"0.012951","0.002234"
"0.012720","0.002225"
"0.012791","0.002227"
"0.012809","0.002237"
"0.012694","0.002201"
"0.012774","0.002213"
"0.012821","0.002218"
"0.012910","0.002246"
"0.012888","0.002229"
"0.012870","0.002263"
"0.012820","0.002206"
"0.012829","0.002214"
"0.012904","0.002215"
"0.012822","0.002218"
"0.012914","0.002255"
"0.012726","0.002197"
"0.012826","0.002209"
"0.012750","0.002217"
"0.012803","0.002227"
"0.012761","0.002185"
"0.012892","0.002229"
"0.012797","0.002209"
"0.012783","0.002154"
"0.012980","0.002251"
"0.012780","0.002170"
"0.012843","0.002214"
"0.012937","0.002194"
"0.012859","0.002194"
"0.012705","0.002039"
"0.012715","0.002199"
"0.012895","0.002232"
"0.012769","0.002201"
"0.012842","0.002219"
"0.012861","0.002231"
"0.012933","0.002223"
"0.012846","0.002211"
"0.012833","0.002264"
"0.012826","0.002180"
"0.012754","0.002179"
"0.012858","0.002183"
"0.012618","0.002071"
"0.012706","0.002217"
"0.012812","0.002204"
"0.012883","0.002254"
"0.012980","0 errors"
"0.002232","everythi"
"[node2:0","[node2:0"
