"send","receive"
"0.801165","0.123122"
"0.801018","0.122473"
"0.800976","0.122282"
"0.799766","0.121673"
"0.800468","0.122295"
"0.802237","0.123281"
"0.801977","0.122376"
"0.800114","0.121777"
"0.801387","0.121917"
"0.800855","0.122575"
"0.800272","0.121910"
"0.801218","0.121761"
"0.801183","0.122014"
"0.800596","0.122283"
"0.801337","0.122702"
"0.800333","0.121840"
"0.800152","0.121921"
"0.801320","0.122124"
"0.802262","0.123019"
"0.800867","0.122518"
"0.800320","0.122434"
"0.800160","0.121607"
"0.801766","0.123363"
"0.799638","0.121557"
"0.800398","0.122114"
"0.802461","0.123574"
"0.801556","0.123223"
"0.800732","0.121885"
"0.801194","0.122658"
"0.800020","0.121807"
"0.802967","0.123735"
"0.801291","0.122197"
"0.800973","0.122142"
"0.800474","0.122585"
"0.801764","0.123352"
"0.800333","0.122856"
"0.800996","0.123309"
"0.801438","0.122803"
"0.800562","0.122198"
"0.801395","0.123639"
"0.801780","0.122984"
"0.796459","0.117438"
"0.880752","0.113573"
"0.806853","0.123280"
"0.802338","0.121991"
"0.801245","0.122986"
"0.802383","0.123180"
"0.799661","0.121645"
"0.801497","0.122561"
"0.800531","0.121961"
"0.800413","0.121757"
"0.800432","0.121879"
"0.801556","0.123476"
"0.802544","0.123297"
"0.802089","0.122517"
"0.801396","0.122732"
"0.802997","0 errors"
"0.122641","everythi"
"send","receive"
"0.306194","0.308473"
"0.855449","0.122624"
"0.801881","0.122358"
"0.799810","0.121737"
"0.801413","0.122770"
"[node2:0","[node2:0"
"0.801928","0.123589"
"0.802604","0.123893"
"0.801074","0.123016"
"0.803393","0.123539"
"0.800238","0.121761"
"0.802180","0.123488"
"0.800511","0.121910"
"0.801441","0.122777"
"0.801204","0.123470"
"0.800401","0.122130"
"0.801056","0.122250"
"0.801746","0.123538"
"0.799733","0.122155"
"0.800828","0.122015"
"0.802326","0.123353"
"0.801196","0.122737"
"0.802387","0.123532"
"0.800931","0.122448"
"0.801742","0.122507"
"0.800176","0.121563"
"0.802151","0.123367"
"0.801180","0.122996"
"0.801694","0.123024"
"0.800569","0.121880"
"0.802440","0.123721"
"0.800703","0.122018"
"0.801416","0.123104"
"0.801485","0.122812"
"0.800044","0.121586"
"0.802039","0.123004"
"0.800450","0.121809"
"0.800641","0.121807"
"0.800713","0.122313"
"0.801339","0.122584"
"0.801684","0.122469"
"0.801048","0.122574"
"0.800550","0.122019"
"0.801165","0.123122"
"0.801018","0.122473"
"0.800976","0.122282"
"0.799766","0.121673"
"0.800468","0.122295"
"0.802237","0.123281"
"0.801977","0.122376"
"0.800114","0.121777"
"0.801387","0.121917"
"0.800855","0.122575"
"0.800272","0.121910"
"0.801218","0.121761"
"0.801183","0.122014"
"0.800596","0.122283"
"0.801337","0.122702"
"0.800333","0.121840"
"0.800152","0.121921"
"0.801320","0.122124"
"0.802262","0.123019"
"0.800867","0.122518"
"0.800320","0.122434"
"0.800160","0.121607"
"0.801766","0.123363"
"0.799638","0.121557"
"0.800398","0.122114"
"0.802461","0.123574"
"0.801556","0.123223"
"0.800732","0.121885"
"0.801194","0.122658"
"0.800020","0.121807"
"0.802967","0.123735"
"0.801291","0.122197"
"0.800973","0.122142"
"0.800474","0.122585"
"0.801764","0.123352"
"0.800333","0.122856"
"0.800996","0.123309"
"0.801438","0.122803"
"0.800562","0.122198"
"0.801395","0.123639"
"0.801780","0.122984"
"0.796459","0.117438"
"0.880752","0.113573"
"0.806853","0.123280"
"0.802338","0.121991"
"0.801245","0.122986"
"0.802383","0.123180"
"0.799661","0.121645"
"0.801497","0.122561"
"0.800531","0.121961"
"0.800413","0.121757"
"0.800432","0.121879"
"0.801556","0.123476"
"0.802544","0.123297"
"0.802089","0.122517"
"0.801396","0.122732"
"0.802997","0 errors"
"0.122641","everythi"
"send","receive"
"0.306194","0.308473"
"0.855449","0.122624"
"0.801881","0.122358"
"0.799810","0.121737"
"0.801413","0.122770"
"[node2:0","[node2:0"
"0.801928","0.123589"
"0.802604","0.123893"
"0.801074","0.123016"
"0.803393","0.123539"
"0.800238","0.121761"
"0.802180","0.123488"
"0.800511","0.121910"
"0.801441","0.122777"
"0.801204","0.123470"
"0.800401","0.122130"
"0.801056","0.122250"
"0.801746","0.123538"
"0.799733","0.122155"
"0.800828","0.122015"
"0.802326","0.123353"
"0.801196","0.122737"
"0.802387","0.123532"
"0.800931","0.122448"
"0.801742","0.122507"
"0.800176","0.121563"
"0.802151","0.123367"
"0.801180","0.122996"
"0.801694","0.123024"
"0.800569","0.121880"
"0.802440","0.123721"
"0.800703","0.122018"
"0.801416","0.123104"
"0.801485","0.122812"
"0.800044","0.121586"
"0.802039","0.123004"
"0.800450","0.121809"
"0.800641","0.121807"
"0.800713","0.122313"
"0.801339","0.122584"
"0.801684","0.122469"
"0.801048","0.122574"
"0.800550","0.122019"
"0.801165","0.123122"
"0.801018","0.122473"
"0.800976","0.122282"
"0.799766","0.121673"
"0.800468","0.122295"
"0.802237","0.123281"
"0.801977","0.122376"
"0.800114","0.121777"
"0.801387","0.121917"
"0.800855","0.122575"
"0.800272","0.121910"
"0.801218","0.121761"
"0.801183","0.122014"
"0.800596","0.122283"
"0.801337","0.122702"
"0.800333","0.121840"
"0.800152","0.121921"
"0.801320","0.122124"
"0.802262","0.123019"
"0.800867","0.122518"
"0.800320","0.122434"
"0.800160","0.121607"
"0.801766","0.123363"
"0.799638","0.121557"
"0.800398","0.122114"
"0.802461","0.123574"
"0.801556","0.123223"
"0.800732","0.121885"
"0.801194","0.122658"
"0.800020","0.121807"
"0.802967","0.123735"
"0.801291","0.122197"
"0.800973","0.122142"
"0.800474","0.122585"
"0.801764","0.123352"
"0.800333","0.122856"
"0.800996","0.123309"
"0.801438","0.122803"
"0.800562","0.122198"
"0.801395","0.123639"
"0.801780","0.122984"
"0.796459","0.117438"
"0.880752","0.113573"
"0.806853","0.123280"
"0.802338","0.121991"
"0.801245","0.122986"
"0.802383","0.123180"
"0.799661","0.121645"
"0.801497","0.122561"
"0.800531","0.121961"
"0.800413","0.121757"
"0.800432","0.121879"
"0.801556","0.123476"
"0.802544","0.123297"
"0.802089","0.122517"
"0.801396","0.122732"
"0.802997","0 errors"
"0.122641","everythi"
"send","receive"
"0.306194","0.308473"
"0.855449","0.122624"
"0.801881","0.122358"
"0.799810","0.121737"
"0.801413","0.122770"
"[node2:0","[node2:0"
"0.801928","0.123589"
"0.802604","0.123893"
"0.801074","0.123016"
"0.803393","0.123539"
"0.800238","0.121761"
"0.802180","0.123488"
"0.800511","0.121910"
"0.801441","0.122777"
"0.801204","0.123470"
"0.800401","0.122130"
"0.801056","0.122250"
"0.801746","0.123538"
"0.799733","0.122155"
"0.800828","0.122015"
"0.802326","0.123353"
"0.801196","0.122737"
"0.802387","0.123532"
"0.800931","0.122448"
"0.801742","0.122507"
"0.800176","0.121563"
"0.802151","0.123367"
"0.801180","0.122996"
"0.801694","0.123024"
"0.800569","0.121880"
"0.802440","0.123721"
"0.800703","0.122018"
"0.801416","0.123104"
"0.801485","0.122812"
"0.800044","0.121586"
"0.802039","0.123004"
"0.800450","0.121809"
"0.800641","0.121807"
"0.800713","0.122313"
"0.801339","0.122584"
"0.801684","0.122469"
"0.801048","0.122574"
"0.800550","0.122019"
"0.801165","0.123122"
"0.801018","0.122473"
"0.800976","0.122282"
"0.799766","0.121673"
"0.800468","0.122295"
"0.802237","0.123281"
"0.801977","0.122376"
"0.800114","0.121777"
"0.801387","0.121917"
"0.800855","0.122575"
"0.800272","0.121910"
"0.801218","0.121761"
"0.801183","0.122014"
"0.800596","0.122283"
"0.801337","0.122702"
"0.800333","0.121840"
"0.800152","0.121921"
"0.801320","0.122124"
"0.802262","0.123019"
"0.800867","0.122518"
"0.800320","0.122434"
"0.800160","0.121607"
"0.801766","0.123363"
"0.799638","0.121557"
"0.800398","0.122114"
"0.802461","0.123574"
"0.801556","0.123223"
"0.800732","0.121885"
"0.801194","0.122658"
"0.800020","0.121807"
"0.802967","0.123735"
"0.801291","0.122197"
"0.800973","0.122142"
"0.800474","0.122585"
"0.801764","0.123352"
"0.800333","0.122856"
"0.800996","0.123309"
"0.801438","0.122803"
"0.800562","0.122198"
"0.801395","0.123639"
"0.801780","0.122984"
"0.796459","0.117438"
"0.880752","0.113573"
"0.806853","0.123280"
"0.802338","0.121991"
"0.801245","0.122986"
"0.802383","0.123180"
"0.799661","0.121645"
"0.801497","0.122561"
"0.800531","0.121961"
"0.800413","0.121757"
"0.800432","0.121879"
"0.801556","0.123476"
"0.802544","0.123297"
"0.802089","0.122517"
"0.801396","0.122732"
"0.802997","0 errors"
"0.122641","everythi"
"send","receive"
"0.306194","0.308473"
"0.855449","0.122624"
"0.801881","0.122358"
"0.799810","0.121737"
"0.801413","0.122770"
"[node2:0","[node2:0"
"0.801928","0.123589"
"0.802604","0.123893"
"0.801074","0.123016"
"0.803393","0.123539"
"0.800238","0.121761"
"0.802180","0.123488"
"0.800511","0.121910"
"0.801441","0.122777"
"0.801204","0.123470"
"0.800401","0.122130"
"0.801056","0.122250"
"0.801746","0.123538"
"0.799733","0.122155"
"0.800828","0.122015"
"0.802326","0.123353"
"0.801196","0.122737"
"0.802387","0.123532"
"0.800931","0.122448"
"0.801742","0.122507"
"0.800176","0.121563"
"0.802151","0.123367"
"0.801180","0.122996"
"0.801694","0.123024"
"0.800569","0.121880"
"0.802440","0.123721"
"0.800703","0.122018"
"0.801416","0.123104"
"0.801485","0.122812"
"0.800044","0.121586"
"0.802039","0.123004"
"0.800450","0.121809"
"0.800641","0.121807"
"0.800713","0.122313"
"0.801339","0.122584"
"0.801684","0.122469"
"0.801048","0.122574"
"0.800550","0.122019"
"0.801165","0.123122"
"0.801018","0.122473"
"0.800976","0.122282"
"0.799766","0.121673"
"0.800468","0.122295"
"0.802237","0.123281"
"0.801977","0.122376"
"0.800114","0.121777"
"0.801387","0.121917"
"0.800855","0.122575"
"0.800272","0.121910"
"0.801218","0.121761"
"0.801183","0.122014"
"0.800596","0.122283"
"0.801337","0.122702"
"0.800333","0.121840"
"0.800152","0.121921"
"0.801320","0.122124"
"0.802262","0.123019"
"0.800867","0.122518"
"0.800320","0.122434"
"0.800160","0.121607"
"0.801766","0.123363"
"0.799638","0.121557"
"0.800398","0.122114"
"0.802461","0.123574"
"0.801556","0.123223"
"0.800732","0.121885"
"0.801194","0.122658"
"0.800020","0.121807"
"0.802967","0.123735"
"0.801291","0.122197"
"0.800973","0.122142"
"0.800474","0.122585"
"0.801764","0.123352"
"0.800333","0.122856"
"0.800996","0.123309"
"0.801438","0.122803"
"0.800562","0.122198"
"0.801395","0.123639"
"0.801780","0.122984"
"0.796459","0.117438"
"0.880752","0.113573"
"0.806853","0.123280"
"0.802338","0.121991"
"0.801245","0.122986"
"0.802383","0.123180"
"0.799661","0.121645"
"0.801497","0.122561"
"0.800531","0.121961"
"0.800413","0.121757"
"0.800432","0.121879"
"0.801556","0.123476"
"0.802544","0.123297"
"0.802089","0.122517"
"0.801396","0.122732"
"0.802997","0 errors"
"0.122641","everythi"
